GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,JsonSupport,30,69,2,0,9,25,3,10,2,10
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,AbstractJsonOutputHandler.JsonResourceCollectionEntryGenerator,88,90,12,8,21,24,11,4,1,4
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,XMLOutputHandler,69,421,8,23,15,99,8,25,1,15
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,XMLOutputHandler.XMLResourceCollectionEntryGenerator,56,109,8,6,12,28,8,5,2,4
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,AbstractJsonOutputHandler,141,532,29,46,37,144,29,28,2,16
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,CBORFirmwareOutputHandler,121,224,20,18,24,64,18,7,0,6
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,CBOROutputHandler,8,32,2,2,2,12,2,4,0,4
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.output,JsonOutputHandler,6,372,0,0,2,68,1,6,1,6
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,StringFirmwareIdentifier,14,11,0,0,3,5,3,2,3,2
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwarePayloadPackage,8,15,0,0,4,6,2,4,2,4
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwarePayloadBuilder,139,122,0,0,37,35,15,17,15,17
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwareRequirement,20,0,0,0,8,0,4,0,4,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwareCondition,59,0,0,0,9,0,3,0,3,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,DigestType,0,59,0,0,0,9,0,3,0,3
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwareBuilder,102,108,0,0,29,33,11,15,11,15
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwareDirective,37,0,0,0,7,0,3,0,3,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,DeviceIdentifier,32,32,0,0,13,11,5,6,5,6
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,ResourceReference,33,0,0,0,11,0,4,0,4,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.firmware,FirmwarePayloadDigest,37,43,0,0,9,14,5,5,5,5
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.file,DirectoryBuilder,91,0,2,0,23,0,11,0,10,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.file,FileBuilder,52,67,1,1,12,21,5,9,4,9
SWID Tag Generation Java API,gov.nist.secauto.swid.builder.resource.file,AbstractFileSystemItemBuilder,70,42,5,1,17,15,7,7,4,7
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,AbstractLanguageSpecificBuilder,0,26,0,0,0,11,0,5,0,5
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,KnownVersionScheme,0,87,0,0,0,13,0,4,0,4
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,TagType,0,44,0,0,0,5,0,1,0,1
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,KnownRole,0,87,0,0,0,13,0,4,0,4
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,VersionScheme,100,36,7,1,25,10,7,2,3,2
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,LinkUse,48,0,0,0,8,0,3,0,3,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,MetaBuilder,99,137,0,0,33,48,11,23,11,23
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,UnknownVersionScheme,39,0,6,0,11,0,7,0,4,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,Role,100,36,7,1,25,10,7,2,3,2
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,LinkOwnership,48,0,0,0,8,0,3,0,3,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,UnknownRole,39,0,6,0,11,0,7,0,4,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,SWIDConstants,3,8,0,0,1,3,1,1,1,1
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,EntityBuilder,11,80,2,2,3,26,3,11,1,11
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,LinkBuilder,45,87,0,0,15,29,5,13,5,13
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,ValidationException,16,0,0,0,6,0,3,0,3,0
SWID Tag Generation Java API,gov.nist.secauto.swid.builder,AbstractBuilder,135,22,9,3,26,9,10,4,4,4
